### SYSTEM         = Linux lass 4.14.11realbaseline+ #2 SMP Wed Jan 15 02:52:58 PST 2020 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 32G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,DWSM,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,DWSM10,DWSM100,DWSM1000,DWSM10000,DWSL10,DWSL100,DWSL1000,DWSL10000,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL,DWRM
### NCORES         = 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119


### MODEL_NAME     = Intel(R) Xeon(R) CPU E7-8870 v2 @ 2.30GHz
### PHYSICAL_CHIPS = 8
### CORE_PER_CHIP  = 15
### SMT_LEVEL      = 1


## nvme:f2fs:DRBL:120:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

120 30.002278 974905.000000 32494.366415 30.0963 2.79 0 35.19 2609.38 935.28 0 0.01 0 0 0.0778753 0 0.982234 72.8338 26.1058 0 0.000279123 0 0

## nvme:f2fs:DRBL:119:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

119 30.000349 974840.000000 32494.288977 30.093 2.8 0 33.67 2609.78 936.22 0 0 0 0 0.0781584 0 0.939854 72.8486 26.1334 0 0 0 0

## nvme:f2fs:DRBL:118:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

118 30.003400 974871.000000 32492.017507 30.0979 2.91 0 35.38 2609.4 935.19 0 0 0 0 0.0812196 0 0.987474 72.8297 26.1016 0 0 0 0

## nvme:f2fs:DRBL:117:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

117 30.000040 974669.000000 32488.922950 30.0912 2.29 0 34.13 2639.53 906.69 0 0 0 0 0.0639193 0 0.952649 73.6756 25.3079 0 0 0 0

## nvme:f2fs:DRBL:116:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

116 30.003100 974997.000000 32496.542538 30.0942 2.85 0 34.86 2640.3 905.51 0 0 0 0 0.0795307 0 0.972787 73.679 25.2687 0 0 0 0

## nvme:f2fs:DRBL:115:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

115 29.999886 974897.000000 32496.689966 30.0939 2.25 0 35.2 2640.04 905.83 0 0 0 0 0.0627909 0 0.982329 73.6758 25.2791 0 0 0 0

## nvme:f2fs:DRBL:114:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

114 30.002113 974898.000000 32494.310833 30.0938 2.25 0 34.16 2640.37 906.42 0 0 0 0 0.062793 0 0.953338 73.6875 25.2964 0 0 0 0

## nvme:f2fs:DRBL:113:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

113 30.001854 975005.000000 32498.158079 30.0931 2.15 0 34.6 2670.61 877.63 0 0 0 0 0.0599723 0 0.965135 74.4942 24.4807 0 0 0 0

## nvme:f2fs:DRBL:112:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

112 30.000230 974798.000000 32493.018027 30.0915 2.1 0 34.71 2669.65 877.76 0 0.02 0 0 0.0585898 0 0.968406 74.483 24.4894 0 0.000557998 0 0

## nvme:f2fs:DRBL:111:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

111 30.002728 974990.000000 32496.712130 30.0941 2.64 0 34.28 2670.27 876.55 0 0 0 0 0.0736661 0 0.956543 74.5107 24.4591 0 0 0 0

## nvme:f2fs:DRBL:110:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

110 30.001328 975022.000000 32499.294481 30.094 3.72 0 34.92 2670.89 874.67 0 0 0 0 0.103789 0 0.974276 74.5184 24.4035 0 0 0 0

## nvme:f2fs:DRBL:109:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

109 30.000953 974859.000000 32494.267755 30.0942 2.65 0 34.76 2699.53 846.33 0 0 0 0 0.0739548 0 0.970064 75.3371 23.6189 0 0 0 0

## nvme:f2fs:DRBL:108:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

108 30.004159 974920.000000 32492.829205 30.0943 2.66 0 34.35 2701.09 847.3 0 0 0 0 0.0741898 0 0.958052 75.3358 23.632 0 0 0 0

## nvme:f2fs:DRBL:107:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

107 30.001769 974937.000000 32495.983851 30.0931 2.58 0 33.83 2701.49 847.33 0 0 0 0 0.0719619 0 0.943594 75.3505 23.6339 0 0 0 0

## nvme:f2fs:DRBL:106:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

106 30.002479 974828.000000 32491.581350 30.0946 2.22 0 33.96 2701.74 847.21 0 0 0 0 0.0619224 0 0.947246 75.3596 23.6312 0 0 0 0

## nvme:f2fs:DRBL:105:directio
