### SYSTEM         = Linux lass 4.14.11realbaseline+ #2 SMP Wed Jan 15 02:52:58 PST 2020 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 32G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,DWSM,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,DWSM10,DWSM100,DWSM1000,DWSM10000,DWSL10,DWSL100,DWSL1000,DWSL10000,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL,DWRM
### NCORES         = 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119


### MODEL_NAME     = Intel(R) Xeon(R) CPU E7-8870 v2 @ 2.30GHz
### PHYSICAL_CHIPS = 8
### CORE_PER_CHIP  = 15
### SMT_LEVEL      = 1


## nvme:f2fs:DRBM:120:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

120 30.003313 972675.000000 32418.919988 30.0951 2.75 0 49.58 2589.38 928.44 0 0 0 0 0.0770276 0 1.38874 72.5286 26.0056 0 0 0 0

## nvme:f2fs:DRBM:119:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

119 30.001865 975780.000000 32523.978530 30.0935 2.69 0 46.07 2594.74 930.92 0 0.01 0 0 0.0752568 0 1.28888 72.5917 26.0439 0 0.000279765 0 0

## nvme:f2fs:DRBM:118:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

118 30.002995 972755.000000 32421.929886 30.095 2.62 0 55.98 2580.89 925.98 0 0.01 0 0 0.0734824 0 1.57006 72.3855 25.9707 0 0.000280467 0 0

## nvme:f2fs:DRBM:117:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

117 30.003329 975017.000000 32496.960865 30.1038 3.44 0 54.82 2612.99 895.87 0 0 0 0 0.0964363 0 1.53681 73.2521 25.1147 0 0 0 0

## nvme:f2fs:DRBM:116:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

116 30.001048 972704.000000 32422.334456 30.0931 2.13 0 53.87 2615.64 897.01 0 0 0 0 0.0596864 0 1.50953 73.2949 25.1358 0 0 0 0

## nvme:f2fs:DRBM:115:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

115 30.002186 974783.000000 32490.398870 30.0945 2.54 0 54.15 2614.29 896.61 0 0.01 0 0 0.0711963 0 1.51783 73.2787 25.132 0 0.0002803 0 0

## nvme:f2fs:DRBM:114:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

114 30.001496 974845.000000 32493.212673 30.0926 4.44 0 56.37 2612.15 894.98 0 0.01 0 0 0.124441 0 1.5799 73.2115 25.0839 0 0.000280273 0 0

## nvme:f2fs:DRBM:113:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

113 30.002155 974902.000000 32494.399641 30.0927 2.22 0 49.85 2650.55 871.18 0 0 0 0 0.0621188 0 1.39487 74.1662 24.3769 0 0 0 0

## nvme:f2fs:DRBM:112:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

112 30.000592 974989.000000 32498.991952 30.0991 2.97 0 53.67 2645.57 868.07 0 0 0 0 0.0831868 0 1.50324 74.0998 24.3138 0 0 0 0

## nvme:f2fs:DRBM:111:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

111 30.003618 975066.000000 32498.281020 30.0952 4.28 0 58.27 2642.22 864.73 0 0.01 0 0 0.119904 0 1.63244 74.0219 24.2255 0 0.00028015 0 0

## nvme:f2fs:DRBM:110:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

110 30.000448 974897.000000 32496.081786 30.0989 3.52 0 59.65 2638.16 863.55 0 0 0 0 0.0987411 0 1.67327 74.0042 24.2238 0 0 0 0

## nvme:f2fs:DRBM:109:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

109 30.000557 972910.000000 32429.730795 30.0932 2.55 0 51.81 2678.14 840.54 0 0.01 0 0 0.0713676 0 1.45002 74.9539 23.5244 0 0.000279873 0 0

## nvme:f2fs:DRBM:108:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

108 30.003415 974900.000000 32492.968185 30.0957 2.48 0 50.48 2680.62 839.57 0 0 0 0 0.0694065 0 1.41276 75.0212 23.4966 0 0 0 0

## nvme:f2fs:DRBM:107:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

107 30.001027 972903.000000 32428.989494 30.0915 2.48 0 50.53 2681.55 838.99 0 0 0 0 0.0693988 0 1.414 75.0388 23.4778 0 0 0 0

## nvme:f2fs:DRBM:106:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

106 30.001039 974914.000000 32496.007480 30.0895 2.1 0 49.46 2681.72 839.3 0 0.01 0 0 0.0587809 0 1.38443 75.0637 23.4928 0 0.000279909 0 0

## nvme:f2fs:DRBM:105:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

105 30.001795 974967.000000 32496.955650 30.0911 2.43 0 50.76 2710.4 811.64 0 0 0 0 0.0679677 0 1.41977 75.8105 22.7018 0 0 0 0

## nvme:f2fs:DRBM:104:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

104 30.001196 974792.000000 32491.771599 30.0927 2.43 0 51.38 2710.92 809.71 0 0 0 0 0.0679827 0 1.43743 75.8418 22.6528 0 0 0 0

## nvme:f2fs:DRBM:103:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

103 30.000617 974907.000000 32496.231440 30.0936 2.43 0 46.53 2717.22 812 0 0 0 0 0.0679116 0 1.30038 75.9386 22.6931 0 0 0 0

## nvme:f2fs:DRBM:102:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

102 30.003150 974894.000000 32493.055129 30.0944 2.51 0 43.8 2748.39 784.64 0 0 0 0 0.0701247 0 1.22369 76.7848 21.9214 0 0 0 0

## nvme:f2fs:DRBM:101:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

101 30.002196 974896.000000 32494.154525 30.0914 2.39 0 47.92 2743.43 782.06 0 0 0 0 0.0668382 0 1.34012 76.7221 21.8709 0 0 0 0

## nvme:f2fs:DRBM:100:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

100 30.001926 974949.000000 32496.213700 30.0918 2.51 0 50.16 2742.81 781 0 0 0 0 0.0701807 0 1.4025 76.6902 21.8371 0 0 0 0

## nvme:f2fs:DRBM:99:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

99 30.002745 975048.000000 32498.626824 30.0957 2.29 0 52.55 2738.9 780.13 0 0.01 0 0 0.064076 0 1.47039 76.6366 21.8287 0 0.000279808 0 0

## nvme:f2fs:DRBM:98:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

98 30.001070 974939.000000 32496.807548 30.0909 2.05 0 45.96 2775.89 754.65 0 0.01 0 0 0.0572856 0 1.28432 77.57 21.0881 0 0.000279442 0 0

## nvme:f2fs:DRBM:97:directio
